"id","eqp_type_name","failure_cat","code","description","ErrorGroup","Status"
"1","AFC ROUTER","Software",,"Router Faulty",NULL,"1"
"2","AFC ROUTER","Others",,"Not on LAN",NULL,"1"
"3","TELE SWITCH","Hardware",,"Switch Faulty",NULL,"1"
"4","AFC SWITCH","Software",,"Not On LAN",NULL,"1"
"5","All AFC","Others",,"Power failure",NULL,"1"
"6","All AFC","Others",,"Not on LAN",NULL,"1"
"7","All AFC","Others",,"UPI Payment not working",NULL,"1"
"8","All AFC","Others",,"Not Generating whatsup ticket",NULL,"1"
"9","SDH/MPLS","Hardware",,"Showing Alarm",NULL,"1"
"10","All TELECOM","Hardware",,"Other/Unknown",NULL,"1"
"11","TELEPHONE","Hardware",,"HOT line not working",NULL,"1"
"12","RADIO","Others",,"MTS Sites in local area network",NULL,"1"
"13","AVM","Software",,"Hanged",NULL,"1"
"14","AVM","Software",,"Application not running/Corrupt",NULL,"1"
"15","AVM","Others",,"Crypto not working/Faulty",NULL,"1"
"16","AVM","Software",,"Date and Time mismatch",NULL,"1"
"17","AVM","Others",,"Not on LAN",NULL,"1"
"18","AVM","Software",,"Not sensing media",NULL,"1"
"19","AVM","Software",,"Topup/Recharge/QR code/Cash option not highlighted",NULL,"1"
"20","AVM","Hardware",,"Touch Screen not working",NULL,"1"
"21","AVM","Others",,"Out of service",NULL,"1"
"22","AVM","Hardware",,"Not getting on",NULL,"1"
"23","AVM","Others",,"Other/Unknown errer",NULL,"1"
"24","AVM","Software",,"TOP up option not highlighted",NULL,"1"
"25","AVM","Others",,"Server not available",NULL,"1"
"26","CCTV","Software",,"Intermittent VD Loss",NULL,"0"
"27","CCTV","Others",,"Flickering view",NULL,"1"
"28","CCTV","Others",,"Barco wall not working",NULL,"1"
"29","CCTV","Hardware",,"Not on LAN",NULL,"1"
"30","CCTV","Hardware",,"Adapter faulty",NULL,"0"
"31","CCTV","Others",,"Power failure",NULL,"1"
"32","CCTV","Others",,"No view on TO Monitor",NULL,"1"
"33","CCTV","Software",,"Blurr View",NULL,"1"
"34","CCTV","Others",,"No view",NULL,"0"
"35","CCTV","Others",,"Application / OS not running",NULL,"1"
"36","CCTV","Others",,"Video Loss",NULL,"1"
"37","CCTV","Others","0","Showing Alarm",NULL,"1"
"38","CCTV","Software","0","Not recording",NULL,"1"
"39","CCTV","Others","0","Workstation Faulty",NULL,"0"
"40","CCTV","Others","0","Not getting ON",NULL,"1"
"41","CLOCK","Others","0","Analogue clock not working",NULL,"1"
"42","CLOCK","Others","0","Time mismatch / Not getting sync",NULL,"1"
"43","CLOCK","Software","0","Submaster Clock not working",NULL,"1"
"44","CLOCK","Others","0","Backlight faulty",NULL,"1"
"45","CLOCK","Others","0","Other/Unknown error",NULL,"1"
"46","CLOCK","Others","0","Digital clock not working",NULL,"1"
"47","IT PERSONAL COMPUTER","Others","0","CMS not working",NULL,"1"
"48","IT","Software","0","Intranet not working",NULL,"1"
"49","TOM","Others","0","Not On LAN",NULL,"1"
"50","TOM","Others","0","Not accepting/sensing media",NULL,"1"
"51","TOM","Others","0","Topup/Recharge/QR code/Cash option not highlighted",NULL,"1"
"52","TOM","Others","0","Not accepting Login ID",NULL,"0"
"53","TOM","Others","0","PID No Display",NULL,"0"
"54","TOM","Software","0","Hanged",NULL,"0"
"55","TOM","Others","0","Out of service",NULL,"1"
"56","TOM","Others","0","Others / Miscellaneous",NULL,"0"
"57","TOM","Software","0","Speaker not working",NULL,"1"
"58","TOM","Software","0","Out of order",NULL,"1"
"59","TOM","Others","0","Keyboard not working",NULL,"0"
"60","TOM","Others","0","Blank screen",NULL,"0"
"61","TOM","Others","0","QR not reading/ Zebra not working",NULL,"0"
"62","TOM","Others","0","Two way MIC not working",NULL,"1"
"63","TOM","Software","0","Issuing Invalid QR Ticket",NULL,"0"
"64","TOM","Others","0","NCMC Card not sensing / adjusting",NULL,"0"
"65","TOM","Others","0","End of shift not generating",NULL,"0"
"66","TOM","Others","0","Not generating QR Tickets",NULL,"1"
