station,system,subsystem,schedule_name,total_pm,on_time,late,avg_days_late,compliance_pct
AHNR,AFC,AFC SWITCH,QUARTERLY,9,3,6,42.7,33.3
AHNR,AFC,AVM,MONTHLY,42,18,24,4.9,42.9
AHNR,AFC,EC,HALF YEARLY,1,0,1,101.0,0.0
AHNR,AFC,EC,QUARTERLY,5,0,5,107.4,0.0
AHNR,AFC,EFO,QUARTERLY,10,6,4,-0.8,60.0
AHNR,AFC,GATE,MONTHLY,220,122,98,6.4,55.5
AHNR,AFC,SC,HALF YEARLY,2,1,1,-60.5,50.0
AHNR,AFC,SWING BARRIER,MONTHLY,6,2,4,51.7,33.3
AHNR,AFC,TOM,QUARTERLY,24,12,12,35.8,50.0
AHNR,AFC,TVM,BI-WEEKLY,12,3,9,16.5,25.0
AHNR,AFC,TVM,MONTHLY,36,27,9,2.6,75.0
AHNR,TELECOM,CCTV,HALF YEARLY,39,39,0,-110.0,100.0
AHNR,TELECOM,CCTV,QUARTERLY,309,240,69,-10.9,77.7
AHNR,TELECOM,CLOCK,HALF YEARLY,36,20,16,-70.4,55.6
AHNR,TELECOM,CLOCK,QUARTERLY,12,10,2,8.2,83.3
AHNR,TELECOM,EPABX,HALF YEARLY,4,2,2,7.5,50.0
AHNR,TELECOM,EPABX,MONTHLY,25,12,13,4.0,48.0
AHNR,TELECOM,EPABX,QUARTERLY,7,4,3,35.1,57.1
AHNR,TELECOM,PAS/PIDS,HALF YEARLY,41,11,30,18.6,26.8
AHNR,TELECOM,PAS/PIDS,MONTHLY,73,58,15,-17.8,79.5
AHNR,TELECOM,PAS/PIDS,QUARTERLY,656,352,304,8.7,53.7
AHNR,TELECOM,PAS/PIDS,YEARLY,31,31,0,-295.4,100.0
AHNR,TELECOM,RADIO,MONTHLY,16,8,8,1.0,50.0
AHNR,TELECOM,RADIO,QUARTERLY,1,0,1,296.0,0.0
AHNR,TELECOM,SDH/MPLS,HALF YEARLY,1,0,1,9.0,0.0
AHNR,TELECOM,SDH/MPLS,QUARTERLY,2,1,1,4.5,50.0
AHNR,TELECOM,SMPS,HALF YEARLY,2,0,2,100.0,0.0
AHNR,TELECOM,SMPS,MONTHLY,34,20,14,12.8,58.8
AHNR,TELECOM,TELE SWITCH,HALF YEARLY,4,2,2,-22.5,50.0
AHNR,TELECOM,TELE SWITCH,QUARTERLY,8,4,4,-0.8,50.0
AHNR,TELECOM,TER ROOM,MONTHLY,3,2,1,-13.0,66.7
AHNR,TELECOM,UPS,HALF YEARLY,2,1,1,-40.0,50.0
AHNR,TELECOM,UPS,MONTHLY,31,17,14,17.0,54.8
AHNR,TELECOM,UPS,YEARLY,3,1,2,-105.3,33.3
AHRM,AFC,AFC SWITCH,QUARTERLY,23,11,12,-7.0,47.8
AHRM,AFC,AVM,MONTHLY,47,22,25,10.8,46.8
AHRM,AFC,EC,QUARTERLY,28,21,7,-20.1,75.0
AHRM,AFC,EFO,QUARTERLY,14,10,4,-30.0,71.4
AHRM,AFC,EMERGENCY SWITCH,MONTHLY,18,9,9,13.6,50.0
